Category,Date,Sales_Value
Grocery,9/21/2015,4988
Grocery,9/22/2015,2907
Grocery,9/23/2015,2854
Grocery,9/24/2015,2644
Grocery,9/25/2015,3048
Grocery,9/26/2015,5055
Grocery,9/27/2015,2832
Grocery,9/28/2015,3190
Grocery,9/29/2015,1649
Grocery,9/30/2015,2777
Grocery,10/1/2015,4067
Grocery,10/2/2015,7864
Grocery,10/3/2015,4677
Grocery,10/4/2015,5816
Grocery,10/5/2015,3094
Grocery,10/6/2015,3706
Grocery,10/7/2015,2841
Grocery,10/8/2015,2886
Grocery,10/9/2015,3872
Grocery,10/10/2015,7089
Grocery,10/11/2015,5739
Grocery,10/12/2015,1543
Grocery,10/13/2015,3797
Grocery,10/14/2015,3148
Grocery,10/15/2015,4240
Grocery,10/16/2015,2861
Grocery,10/18/2015,4764
Grocery,10/19/2015,4000
Grocery,10/20/2015,4368
Grocery,10/21/2015,2495
Grocery,10/22/2015,2530
Grocery,10/23/2015,2153
Grocery,10/24/2015,4510
Grocery,10/25/2015,6579
Grocery,10/26/2015,2055
Grocery,10/27/2015,4344
Grocery,10/28/2015,2628
Grocery,10/29/2015,3141
Grocery,10/30/2015,5235
Grocery,10/31/2015,3190
Grocery,11/1/2015,3094
Grocery,11/2/2015,3706
Grocery,11/3/2015,2841
Grocery,11/4/2015,2886
Grocery,11/5/2015,3872
Grocery,11/6/2015,8654
Grocery,11/7/2015,5634
Grocery,11/8/2015,5988
Grocery,11/9/2015,6899
Grocery,11/10/2015,8654
Grocery,11/11/2015,2856
Grocery,11/12/2015,2788
Grocery,11/13/2015,2204
Grocery,11/14/2015,3092
Grocery,11/15/2015,7594
Grocery,11/16/2015,4425
Grocery,11/17/2015,4719
Grocery,11/18/2015,2887
Grocery,11/19/2015,3348
Grocery,11/20/2015,1916
Grocery,11/21/2015,4236
Grocery,11/22/2015,5666
Grocery,11/23/2015,3176
Grocery,11/24/2015,2197
Grocery,11/25/2015,2627
Grocery,11/26/2015,3048
Grocery,11/27/2015,3810
Grocery,11/28/2015,5268
Grocery,11/29/2015,5189
Grocery,11/30/2015,3590
Grocery,12/1/2015,4252
Grocery,12/2/2015,4703
Grocery,12/3/2015,4888
Grocery,12/4/2015,4530
Grocery,12/5/2015,4943
Grocery,12/6/2015,7955
Grocery,12/7/2015,5223
Grocery,12/8/2015,3211
Grocery,12/9/2015,2941
Grocery,12/10/2015,3296
Grocery,12/11/2015,2902
Grocery,12/12/2015,4148
Grocery,12/13/2015,7154
Grocery,12/14/2015,2655
Grocery,12/15/2015,1185
Grocery,12/16/2015,1442
Grocery,12/17/2015,4612
Grocery,12/18/2015,2836
Grocery,12/19/2015,4990
Grocery,12/20/2015,5225
Grocery,12/21/2015,3955
Grocery,12/22/2015,3385
Grocery,12/23/2015,2667
Grocery,12/24/2015,5187
Grocery,12/25/2015,7653
Grocery,12/26/2015,3376
Grocery,12/27/2015,2926
Grocery,12/28/2015,4288
Grocery,12/29/2015,3685
Grocery,12/30/2015,3019
Grocery,12/31/2015,4727
Electronics,1/1/2015,8818
Electronics,1/2/2015,7527
Electronics,1/3/2015,8689
Electronics,1/4/2015,8370
Electronics,1/5/2015,6953
Electronics,1/6/2015,6778
Electronics,1/7/2015,5928
Electronics,1/8/2015,5170
Electronics,1/9/2015,10468
Electronics,1/10/2015,9226
Electronics,1/11/2015,5140
Electronics,1/12/2015,7326
Electronics,1/13/2015,6729
Electronics,1/14/2015,6744
Electronics,1/15/2015,5901
Electronics,1/16/2015,9021
Electronics,1/17/2015,8332
Electronics,1/18/2015,4903
Electronics,2/1/2015,6755
Electronics,2/2/2015,6755
Electronics,2/3/2015,6755
Electronics,2/4/2015,6755
Electronics,2/5/2015,6755
Electronics,2/6/2015,6755
Electronics,2/7/2015,5706
Electronics,2/8/2015,8211
Electronics,2/9/2015,7082
Electronics,2/10/2015,8868
Electronics,2/11/2015,11219
Electronics,2/12/2015,8449
Electronics,2/13/2015,12911
Electronics,2/14/2015,11923
Electronics,2/15/2015,13390
Electronics,2/16/2015,9009
Electronics,2/17/2015,10730
Electronics,2/18/2015,8345
Electronics,2/19/2015,11694
Electronics,2/20/2015,8348
Electronics,2/21/2015,12702
Electronics,2/22/2015,11999
Electronics,2/23/2015,9544
Electronics,2/24/2015,7063
Electronics,2/25/2015,7569
Electronics,2/26/2015,6619
Electronics,2/27/2015,9422
Electronics,2/28/2015,10949
Electronics,3/1/2015,10864
Electronics,3/2/2015,7190
Electronics,3/3/2015,7814
Electronics,3/4/2015,9408
Electronics,3/5/2015,9334
Electronics,3/6/2015,7589
Electronics,3/7/2015,12672
Electronics,3/8/2015,13172
Electronics,3/9/2015,10182
Electronics,3/10/2015,10056
Electronics,3/11/2015,9324
Electronics,3/12/2015,5525
Electronics,3/13/2015,8058
Electronics,3/14/2015,10265
Electronics,3/15/2015,7772
Electronics,3/16/2015,7179
Electronics,3/17/2015,9826
Electronics,3/18/2015,7460
Electronics,3/19/2015,8395
Electronics,3/20/2015,9747
Electronics,3/21/2015,12230
Electronics,3/22/2015,10524
Electronics,3/23/2015,7566
Electronics,3/24/2015,8743
Electronics,3/25/2015,8822
Electronics,3/26/2015,9415
Electronics,3/27/2015,6346
Electronics,3/28/2015,7721
Electronics,3/29/2015,8866
Electronics,3/30/2015,5048
Electronics,3/31/2015,7655
Electronics,4/1/2015,6682
Electronics,4/2/2015,7644
Electronics,4/3/2015,9342
Electronics,4/4/2015,10208
Electronics,4/5/2015,11183
Electronics,4/6/2015,7561
Electronics,4/7/2015,9375
Electronics,4/8/2015,7740
Electronics,4/9/2015,7045
Electronics,4/10/2015,10522
Electronics,4/11/2015,9010
Electronics,4/12/2015,12090
Electronics,4/13/2015,7167
Electronics,4/14/2015,9791
Electronics,4/15/2015,8404
Electronics,4/16/2015,6509
Electronics,4/17/2015,8140
Electronics,4/18/2015,13659
Electronics,4/19/2015,8698
Electronics,4/20/2015,7246
Electronics,4/21/2015,6500
Electronics,4/22/2015,8485
Electronics,4/23/2015,10473
Electronics,4/24/2015,7261
Electronics,4/25/2015,10380
Electronics,4/26/2015,9142
Electronics,4/27/2015,9132
Electronics,4/28/2015,5717
Electronics,4/29/2015,8468
Electronics,4/30/2015,13024
Electronics,5/1/2015,8245
Electronics,5/2/2015,7063
Electronics,5/3/2015,12182
Electronics,5/4/2015,7275
Electronics,5/5/2015,9793
Electronics,5/6/2015,7048
Electronics,5/7/2015,9258
Electronics,5/8/2015,10487
Electronics,5/9/2015,12415
Electronics,5/10/2015,11030
Electronics,5/11/2015,10358
Electronics,5/12/2015,6961
Electronics,5/13/2015,7840
Electronics,5/14/2015,7692
Electronics,5/15/2015,6661
Electronics,5/16/2015,12392
Electronics,5/17/2015,11980
Electronics,5/18/2015,7543
Electronics,5/19/2015,8254
Electronics,5/20/2015,9700
Electronics,5/21/2015,7698
Electronics,5/22/2015,8319
Electronics,5/23/2015,10574
Electronics,5/24/2015,11164
Electronics,5/25/2015,10857
Electronics,5/26/2015,8273
Electronics,5/27/2015,5959
Electronics,5/28/2015,8213
Electronics,5/29/2015,8532
Electronics,5/30/2015,10018
Electronics,5/31/2015,9082
Electronics,6/1/2015,9246
Electronics,6/2/2015,8113
Electronics,6/3/2015,8788
Electronics,6/4/2015,8513
Electronics,6/5/2015,9414
Electronics,6/6/2015,10797
Electronics,6/7/2015,13995
Electronics,6/8/2015,7958
Electronics,6/9/2015,8186
Electronics,6/10/2015,6990
Electronics,6/11/2015,6778
Electronics,6/12/2015,7949
Electronics,6/13/2015,13133
Electronics,6/14/2015,14722
Electronics,6/15/2015,8275
Electronics,6/16/2015,10362
Electronics,6/17/2015,9243
Electronics,6/18/2015,7028
Electronics,6/19/2015,8067
Electronics,6/20/2015,12906
Electronics,6/21/2015,14902
Electronics,6/22/2015,7954
Electronics,6/23/2015,9679
Electronics,6/24/2015,10737
Electronics,6/25/2015,8291
Electronics,6/26/2015,9770
Electronics,6/27/2015,9620
Electronics,6/28/2015,11842
Electronics,6/29/2015,6813
Electronics,6/30/2015,10240
Electronics,7/1/2015,8880
Electronics,7/2/2015,10458
Electronics,7/3/2015,8926
Electronics,7/4/2015,11557
Electronics,7/5/2015,11035
Electronics,7/6/2015,6799
Electronics,7/7/2015,8944
Electronics,7/8/2015,9173
Electronics,7/9/2015,9198
Electronics,7/10/2015,10823
Electronics,7/11/2015,13076
Electronics,7/12/2015,13635
Electronics,7/13/2015,7606
Electronics,7/14/2015,9744
Electronics,7/15/2015,7428
Electronics,7/16/2015,10165
Electronics,7/17/2015,8171
Electronics,7/18/2015,10031
Electronics,7/19/2015,13572
Electronics,7/20/2015,7947
Electronics,7/21/2015,8379
Electronics,7/22/2015,10063
Electronics,7/23/2015,5598
Electronics,7/24/2015,7495
Electronics,7/25/2015,11958
Electronics,7/26/2015,11282
Electronics,7/27/2015,10893
Electronics,7/28/2015,7435
Electronics,7/29/2015,7679
Electronics,7/30/2015,6472
Electronics,7/31/2015,6771
Electronics,8/1/2015,12593
Electronics,8/2/2015,12676
Electronics,8/3/2015,8399
Electronics,8/4/2015,7556
Electronics,8/5/2015,11613
Electronics,8/6/2015,7599
Electronics,8/7/2015,6665
Electronics,8/8/2015,9290
Electronics,8/9/2015,9495
Electronics,8/10/2015,6155
Electronics,8/11/2015,6301
Electronics,8/12/2015,5224
Electronics,8/13/2015,7222
Electronics,8/14/2015,7687
Electronics,8/16/2015,12092
Electronics,8/17/2015,6589
Electronics,8/18/2015,7004
Electronics,8/19/2015,6626
Electronics,8/20/2015,6304
Electronics,8/21/2015,8389
Electronics,8/22/2015,9694
Electronics,8/23/2015,8007
Electronics,8/24/2015,6375
Electronics,8/25/2015,7990
Electronics,8/26/2015,6506
Electronics,8/27/2015,6549
Electronics,8/28/2015,11546
Electronics,8/29/2015,7085
Electronics,8/30/2015,12649
Electronics,8/31/2015,7657
Electronics,9/1/2015,7739
Electronics,9/2/2015,7271
Electronics,9/3/2015,7394
Electronics,9/4/2015,10487
Electronics,9/5/2015,10444
Electronics,9/6/2015,12145
Electronics,9/7/2015,8386
Electronics,9/8/2015,8478
Electronics,9/9/2015,7050
Electronics,9/10/2015,7722
Electronics,9/11/2015,9185
Electronics,9/12/2015,9484
Electronics,9/13/2015,10225
Electronics,9/14/2015,7003
Electronics,9/15/2015,7338
Electronics,9/16/2015,8236
Electronics,9/17/2015,7700
Electronics,9/18/2015,9029
Electronics,9/19/2015,11181
Electronics,9/20/2015,7767
Electronics,9/21/2015,11451
Electronics,9/22/2015,8184
Electronics,9/23/2015,6168
Electronics,9/24/2015,4687
Electronics,9/25/2015,4783
Electronics,9/26/2015,4866
Electronics,9/27/2015,5684
Electronics,9/28/2015,6006
Electronics,9/29/2015,2803
Electronics,9/30/2015,3922
Electronics,10/1/2015,5080
Electronics,10/2/2015,8511
Electronics,10/3/2015,10066
Electronics,10/4/2015,8413
Electronics,10/5/2015,6094
Electronics,10/6/2015,5073
Electronics,10/7/2015,7019
Electronics,10/8/2015,5994
Electronics,10/9/2015,7338
Electronics,10/10/2015,11812
Electronics,10/11/2015,9080
Electronics,10/12/2015,6814
Electronics,10/13/2015,6184
Electronics,10/14/2015,5712
Electronics,10/15/2015,6559
Electronics,10/16/2015,9375
Electronics,10/18/2015,7337
Electronics,10/19/2015,7970
Electronics,10/20/2015,4113
Electronics,10/21/2015,4699
Electronics,10/22/2015,5392
Electronics,10/23/2015,8140
Electronics,10/24/2015,7660
Electronics,10/25/2015,7097
Electronics,10/26/2015,6211
Electronics,10/27/2015,5889
Electronics,10/28/2015,6400
Electronics,10/29/2015,6477
Electronics,10/30/2015,6604
Electronics,10/31/2015,8791
Electronics,11/1/2015,8070
Electronics,11/2/2015,4851
Electronics,11/3/2015,6545
Electronics,11/4/2015,5261
Electronics,11/5/2015,7579
Electronics,11/6/2015,5737
Electronics,11/7/2015,7821
Electronics,11/8/2015,7509
Electronics,11/9/2015,5713
Electronics,11/10/2015,6579
Electronics,11/11/2015,7744
Electronics,11/12/2015,5527
Electronics,11/13/2015,6849
Electronics,11/14/2015,7696
Electronics,11/15/2015,8678
Electronics,11/16/2015,6492
Electronics,11/17/2015,8230
Electronics,11/18/2015,7184
Electronics,11/19/2015,6568
Electronics,11/20/2015,5291
Electronics,11/21/2015,5836
Electronics,11/22/2015,8089
Electronics,11/23/2015,6586
Electronics,11/24/2015,7123
Electronics,11/25/2015,6317
Electronics,11/26/2015,6117
Electronics,11/27/2015,7699
Electronics,11/28/2015,8694
Electronics,11/29/2015,8613
Electronics,11/30/2015,4823
Electronics,12/1/2015,6467
Electronics,12/2/2015,7308
Electronics,12/3/2015,4892
Electronics,12/4/2015,6381
Electronics,12/5/2015,10074
Electronics,12/6/2015,8791
Electronics,12/7/2015,5643
Electronics,12/8/2015,6912
Electronics,12/9/2015,5721
Electronics,12/10/2015,5182
Electronics,12/11/2015,5469
Electronics,12/12/2015,10681
Electronics,12/13/2015,10393
Electronics,12/14/2015,5505
Electronics,12/15/2015,2536
Electronics,12/16/2015,6299
Electronics,12/17/2015,9683
Electronics,12/18/2015,7442
Electronics,12/19/2015,10091
Electronics,12/20/2015,9159
Electronics,12/21/2015,9065
Electronics,12/22/2015,7652
Electronics,12/23/2015,8278
Electronics,12/24/2015,16964
Electronics,12/25/2015,14857
Electronics,12/26/2015,9409
Electronics,12/27/2015,8220
Electronics,12/28/2015,8083
Electronics,12/29/2015,5650
Electronics,12/30/2015,7410
Electronics,12/31/2015,11513
